stock_no,stock_name,business_scope,competitor
1309,台達化,"台達化是做什麼的？台達化主要經營聚苯乙烯及加工品之製銷,丙烯(月青)、丁二烯、苯乙烯共聚體樹脂ABS之製銷,﹝丙烯(月青)、苯乙烯共聚合樹脂﹞SAN之製銷玻璃棉及其有關產品之製銷,塑膠原料及加工品之製銷","台達化主要經營業務為泛用塑膠，競爭對手為同樣從事泛用塑膠的下列幾家公司：{'1301': '台塑', '1302': '國塑', '1303': '南亞', '1304': '台聚', '1305': '華夏', '1308': '亞聚', '1310': '台苯', '1311': 'Ｄ福聚', '1312': '國喬', '1326': '台化'}"
1310,台苯,台苯是做什麼的？台苯主要經營苯乙烯單體對二乙苯甲苯 乙苯,"台苯主要經營業務為泛用塑膠，競爭對手為同樣從事泛用塑膠的下列幾家公司：{'1301': '台塑', '1302': '國塑', '1303': '南亞', '1304': '台聚', '1305': '華夏', '1308': '亞聚', '1309': '台達化', '1311': 'Ｄ福聚', '1312': '國喬', '1326': '台化'}"
1312,國喬,國喬是做什麼的？國喬主要經營石油化工原料製造業合成樹脂及塑膠製造業國際貿易業(除許可業務外得經營法令非禁止或限制之業務),"國喬主要經營業務為泛用塑膠，競爭對手為同樣從事泛用塑膠的下列幾家公司：{'1301': '台塑', '1302': '國塑', '1303': '南亞', '1304': '台聚', '1305': '華夏', '1308': '亞聚', '1309': '台達化', '1310': '台苯', '1311': 'Ｄ福聚', '1326': '台化'}"
1313,聯成,聯成是做什麼的？聯成主要經營有機酸及其衍生物塑膠增韌劑樹脂及塑膠原料,聯成主要經營業務為可塑劑，競爭對手為同樣從事可塑劑的下列幾家公司：{'8711': '大穎'}
1314,中石化,中石化是做什麼的？中石化主要經營石油化學產品CPL AN之製造及銷售,"中石化主要經營業務為化纖，競爭對手為同樣從事化纖的下列幾家公司：{'1710': '東聯', '1718': '中纖'}"
1315,達新,達新是做什麼的？達新主要經營塑膠雨衣、什加工、PP瓦楞板、成衣等製品傢俱、文具、護貝、皮件等製品醫療器材製造、批發、零售,"達新主要經營業務為塑膠加工，競爭對手為同樣從事塑膠加工的下列幾家公司：{'1321': '大洋', '1323': '永裕', '2461': '光群雷', '3303': '岱稜', '4304': '勝昱', '4305': '世坤', '6151': '晉倫', '8058': '耐特', '8410': '森田', '8942': '森鉅'}"
1316,上曜,上曜是做什麼的？上曜主要經營住宅及大樓開發租售業務。不動產買賣業務。不動產租賃業務。,"上曜主要經營業務為建設，競爭對手為同樣從事建設的下列幾家公司：{'1107': '建台', '1436': '華友聯', '1438': '三地開發', '1439': '雋揚', '1442': '名軒', '1446': '宏和', '1453': '大將', '1456': '怡華', '1805': '寶徠', '1808': '潤隆'}"
1319,東陽,東陽是做什麼的？東陽主要經營汽機車零件製造買賣各項模具製造買賣,"東陽主要經營業務為汽車組件，競爭對手為同樣從事汽車組件的下列幾家公司：{'1338': '廣華-KY', '1339': '昭輝', '1506': '正道', '1512': '瑞利', '1521': '大億', '1522': '堤維西', '1523': '開億', '1524': '耿鼎', '1525': '江申', '1533': '車王電'}"
1321,大洋,大洋是做什麼的？大洋主要經營塑膠原料之製造及銷售塑膠製品之製造及銷售塑膠工業附帶原料之製造及銷售,"大洋主要經營業務為塑膠加工，競爭對手為同樣從事塑膠加工的下列幾家公司：{'1315': '達新', '1323': '永裕', '2461': '光群雷', '3303': '岱稜', '4304': '勝昱', '4305': '世坤', '6151': '晉倫', '8058': '耐特', '8410': '森田', '8942': '森鉅'}"
1323,永裕,永裕是做什麼的？永裕主要經營各種塑膠製品製造.批發各種塑膠模具及機械零件之加工製造及買賣塑膠原料染色之加工業務,"永裕主要經營業務為塑膠加工，競爭對手為同樣從事塑膠加工的下列幾家公司：{'1315': '達新', '1321': '大洋', '2461': '光群雷', '3303': '岱稜', '4304': '勝昱', '4305': '世坤', '6151': '晉倫', '8058': '耐特', '8410': '森田', '8942': '森鉅'}"
